,fluxes,equ,ec-code,kcat_MW,E
EX_h2o_e,40.530642251059874,h2o_e --> ,,,
EX_o2_e,-22.20119448989551,o2_e <-- ,,,
EX_pi_e,0.0,pi_e --> ,,,
EX_co2_e,23.604612338552087,co2_e --> ,,,
EX_ppi_e,4.307700477448362,ppi_e --> ,,,
EX_nh4_e,0.0,nh4_e --> ,,,
EX_amp_e,0.0,amp_e --> ,,,
EX_pyr_e,0.0,pyr_e --> ,,,
EX_glu__L_e,0.0,glu__L_e --> ,,,
EX_akg_e,0.0,akg_e --> ,,,
EX_pheme_e,0.0,pheme_e --> ,,,
EX_ac_e,0.0,ac_e --> ,,,
EX_mn2_e,0.0,mn2_e --> ,,,
EX_gly_e,0.0,gly_e --> ,,,
EX_zn2_e,0.0,zn2_e --> ,,,
EX_ala__L_e,0.0,ala__L_e --> ,,,
EX_succ_e,0.0,succ_e --> ,,,
EX_lys__L_e,0.0,lys__L_e --> ,,,
EX_glx_e,0.0,glx_e --> ,,,
EX_asp__L_e,0.0,asp__L_e --> ,,,
EX_cmp_e,0.0,cmp_e --> ,,,
EX_for_e,0.0,for_e --> ,,,
EX_so4_e,0.0,so4_e --> ,,,
EX_arg__L_e,0.0,arg__L_e --> ,,,
EX_gln__L_e,0.0,gln__L_e --> ,,,
EX_ser__L_e,0.0,ser__L_e --> ,,,
EX_cu2_e,0.0,cu2_e --> ,,,
EX_met__L_e,0.0,met__L_e --> ,,,
EX_pep_e,0.0,pep_e --> ,,,
EX_ca2_e,0.0,ca2_e --> ,,,
EX_orn_e,0.0,orn_e --> ,,,
EX_trp__L_e,0.0,trp__L_e --> ,,,
EX_h_e,0.0,h_e --> ,,,
EX_tyr__L_e,0.0,tyr__L_e --> ,,,
EX_urea_e,0.0,urea_e --> ,,,
EX_no2_e,0.0,no2_e --> ,,,
EX_sucr_e,0.0,sucr_e --> ,,,
EX_glyc3p_e,0.0,glyc3p_e --> ,,,
EX_fru_e,0.0,fru_e --> ,,,
EX_cys__L_e,0.0,cys__L_e --> ,,,
EX_ala_B_e,0.0,ala_B_e --> ,,,
EX_g1p_e,0.0,g1p_e --> ,,,
EX_ump_e,0.0,ump_e --> ,,,
EX_ura_e,0.0,ura_e --> ,,,
EX_chol_e,0.0,chol_e --> ,,,
EX_glyc_e,0.0,glyc_e --> ,,,
EX_btn_e,0.0,btn_e --> ,,,
EX_rib__D_e,0.0,rib__D_e --> ,,,
EX_fum_e,0.0,fum_e --> ,,,
EX_leu__L_e,0.0,leu__L_e --> ,,,
EX_gal_e,0.0,gal_e --> ,,,
EX_ala__D_e,0.0,ala__D_e --> ,,,
EX_his__L_e,0.0,his__L_e --> ,,,
EX_inost_e,0.0,inost_e --> ,,,
EX_acgam_e,0.0,acgam_e --> ,,,
EX_gmp_e,0.0,gmp_e --> ,,,
EX_ade_e,0.0,ade_e --> ,,,
EX_pro__L_e,0.0,pro__L_e --> ,,,
EX_mal__L_e,0.0,mal__L_e --> ,,,
EX_asn__L_e,0.0,asn__L_e --> ,,,
EX_cit_e,0.0,cit_e --> ,,,
EX_man_e,0.0,man_e --> ,,,
EX_glyclt_e,0.0,glyclt_e --> ,,,
EX_prpnte_e,0.0,prpnte_e --> ,,,
EX_acac_e,0.0,acac_e --> ,,,
EX_cbp_e,0.0,cbp_e --> ,,,
EX_cobalt2_e,0.0,cobalt2_e --> ,,,
EX_xyl__D_e,0.0,xyl__D_e --> ,,,
EX_glycogen_e,0.0,glycogen_e --> ,,,
EX_val__L_e,0.0,val__L_e --> ,,,
EX_dha_e,0.0,dha_e --> ,,,
EX_cellb_e,0.0,cellb_e --> ,,,
EX_lac__L_e,0.0,lac__L_e --> ,,,
EX_thr__L_e,0.0,thr__L_e --> ,,,
EX_etha_e,0.0,etha_e --> ,,,
EX_glcur_e,0.0,glcur_e --> ,,,
EX_3pg_e,0.0,3pg_e --> ,,,
EX_2ddglcn_e,0.0,2ddglcn_e --> ,,,
EX_malt_e,0.0,malt_e --> ,,,
EX_adn_e,0.0,adn_e --> ,,,
EX_thymd_e,0.0,thymd_e --> ,,,
EX_arab__D_e,0.0,arab__D_e --> ,,,
EX_glu__D_e,0.0,glu__D_e --> ,,,
EX_k_e,0.0,k_e --> ,,,
EX_gua_e,0.0,gua_e --> ,,,
EX_lcts_e,0.0,lcts_e --> ,,,
EX_no3_e,0.0,no3_e --> ,,,
EX_taur_e,0.0,taur_e --> ,,,
EX_srb__L_e,0.0,srb__L_e --> ,,,
EX_chor_e,0.0,chor_e --> ,,,
EX_nac_e,0.0,nac_e --> ,,,
EX_ribflv_e,0.0,ribflv_e --> ,,,
EX_glcn_e,0.0,glcn_e --> ,,,
EX_arab__L_e,0.0,arab__L_e --> ,,,
EX_hxan_e,0.0,hxan_e --> ,,,
EX_glc__D_e,-7.63,glc__D_e <-- ,,,
EX_acnam_e,0.0,acnam_e --> ,,,
EX_man6p_e,0.0,man6p_e --> ,,,
EX_h2s_e,0.0,h2s_e --> ,,,
EX_ni2_e,0.0,ni2_e --> ,,,
EX_ins_e,0.0,ins_e --> ,,,
EX_uri_e,0.0,uri_e --> ,,,
EX_mg2_e,0.0,mg2_e --> ,,,
EX_citr__L_e,0.0,citr__L_e --> ,,,
EX_gam_e,0.0,gam_e --> ,,,
EX_galur_e,0.0,galur_e --> ,,,
EX_4abut_e,0.0,4abut_e --> ,,,
EX_6pgc_e,0.0,6pgc_e --> ,,,
EX_ethamp_e,0.0,ethamp_e --> ,,,
EX_gam6p_e,0.0,gam6p_e --> ,,,
EX_dtmp_e,0.0,dtmp_e --> ,,,
EX_urate_e,0.0,urate_e --> ,,,
EX_thm_e,0.0,thm_e --> ,,,
EX_csn_e,0.0,csn_e --> ,,,
EX_xan_e,0.0,xan_e --> ,,,
EX_gsn_e,0.0,gsn_e --> ,,,
EX_mnl_e,0.0,mnl_e --> ,,,
EX_ile__L_e,0.0,ile__L_e --> ,,,
EX_etoh_e,0.0,etoh_e --> ,,,
EX_cytd_e,0.0,cytd_e --> ,,,
EX_crn_e,0.0,crn_e --> ,,,
EX_cysi__L_e,0.0,cysi__L_e --> ,,,
EX_raffin_e,0.0,raffin_e --> ,,,
EX_mal__D_e,0.0,mal__D_e --> ,,,
EX_fol_e,0.0,fol_e --> ,,,
EX_Lcyst_e,0.0,Lcyst_e --> ,,,
EX_rmn_e,0.0,rmn_e --> ,,,
EX_hqn_e,0.0,hqn_e --> ,,,
EX_abt__L_e,0.0,abt__L_e --> ,,,
EX_pppi_e,0.0,pppi_e --> ,,,
EX_cbl2_e,0.0,cbl2_e --> ,,,
EX_tartr__M_e,0.0,tartr__M_e --> ,,,
EX_dad_2_e,0.0,dad_2_e --> ,,,
EX_cholp_e,0.0,cholp_e --> ,,,
EX_pacald_e,0.0,pacald_e --> ,,,
EX_2pg_e,0.0,2pg_e --> ,,,
EX_man1p_e,0.0,man1p_e --> ,,,
EX_acmana_e,0.0,acmana_e --> ,,,
EX_g6p_A_e,0.0,g6p_A_e --> ,,,
EX_hg2_e,0.0,hg2_e --> ,,,
EX_glyb_e,0.0,glyb_e --> ,,,
EX_dextrin_e,0.0,dextrin_e --> ,,,
EX_lipoate_e,0.0,lipoate_e --> ,,,
EX_ser__D_e,0.0,ser__D_e --> ,,,
EX_sbt__D_e,0.0,sbt__D_e --> ,,,
EX_glcr_e,0.0,glcr_e --> ,,,
EX_met__D_e,0.0,met__D_e --> ,,,
EX_pnto__R_e,0.0,pnto__R_e --> ,,,
EX_galctr__D_e,0.0,galctr__D_e --> ,,,
EX_dcyt_e,0.0,dcyt_e --> ,,,
EX_chols_e,0.0,chols_e --> ,,,
EX_C00946_e,0.0,C00946_e --> ,,,
EX_2pglyc_e,0.0,2pglyc_e --> ,,,
EX_pser__L_e,0.0,pser__L_e --> ,,,
EX_fuc__L_e,0.0,fuc__L_e --> ,,,
EX_gullac_e,0.0,gullac_e --> ,,,
EX_thmmp_e,0.0,thmmp_e --> ,,,
EX_tre_e,0.0,tre_e --> ,,,
EX_4tmeabutn_e,0.0,4tmeabutn_e --> ,,,
EX_na1_e,0.0,na1_e --> ,,,
EX_3amp_p_e,0.0,3amp_p_e --> ,,,
EX_3ump_p_e,0.0,3ump_p_e --> ,,,
EX_cd2_e,0.0,cd2_e --> ,,,
EX_cgly_e,0.0,cgly_e --> ,,,
EX_salcn_e,0.0,salcn_e --> ,,,
EX_all__D_e,0.0,all__D_e --> ,,,
EX_pur_e,0.0,pur_e --> ,,,
EX_galt_e,0.0,galt_e --> ,,,
EX_sbt__L_e,0.0,sbt__L_e --> ,,,
EX_pala_e,0.0,pala_e --> ,,,
EX_xtsn_e,0.0,xtsn_e --> ,,,
EX_drib_e,0.0,drib_e --> ,,,
EX_malttr_e,0.0,malttr_e --> ,,,
EX_5oxpro_e,0.0,5oxpro_e --> ,,,
EX_thiog_e,0.0,thiog_e --> ,,,
EX_2hymeph_e,0.0,2hymeph_e --> ,,,
EX_alltn_e,0.0,alltn_e --> ,,,
EX_23camp_e,0.0,23camp_e --> ,,,
EX_23ccmp_e,0.0,23ccmp_e --> ,,,
EX_23cump_p_e,0.0,23cump_p_e --> ,,,
EX_tmp_e,0.0,tmp_e --> ,,,
EX_pser__D_e,0.0,pser__D_e --> ,,,
EX_C03031_e,0.0,C03031_e --> ,,,
EX_23btdl_e,0.0,23btdl_e --> ,,,
EX_5mtr_e,0.0,5mtr_e --> ,,,
EX_C03104_e,0.0,C03104_e --> ,,,
EX_C03570_e,0.0,C03570_e --> ,,,
EX_C03619_e,0.0,C03619_e --> ,,,
EX_isetac_e,0.0,isetac_e --> ,,,
EX_peamn_e,0.0,peamn_e --> ,,,
EX_f6p_B_e,0.0,f6p_B_e --> ,,,
EX_melib_e,0.0,melib_e --> ,,,
EX_b12_e,0.0,b12_e --> ,,,
EX_3cmp_p_e,0.0,3cmp_p_e --> ,,,
EX_argp_e,0.0,argp_e --> ,,,
EX_arbt_e,0.0,arbt_e --> ,,,
EX_3gmp_e,0.0,3gmp_e --> ,,,
EX_fecrm_e,0.0,fecrm_e --> ,,,
EX_ectoine_e,0.0,ectoine_e --> ,,,
EX_mobd_e,0.0,mobd_e --> ,,,
EX_2doxg6p_e,0.0,2doxg6p_e --> ,,,
EX_C06468_e,0.0,C06468_e --> ,,,
EX_pb_e,0.0,pb_e --> ,,,
EX_aso3_e,0.0,aso3_e --> ,,,
EX_feoxam_e,0.0,feoxam_e --> ,,,
EX_C08240_e,0.0,C08240_e --> ,,,
EX_djenk_e,0.0,djenk_e --> ,,,
EX_C08325_e,0.0,C08325_e --> ,,,
EX_prolb_e,0.0,prolb_e --> ,,,
EX_mso3_e,0.0,mso3_e --> ,,,
EX_ctbt_e,0.0,ctbt_e --> ,,,
EX_btbet_e,0.0,btbet_e --> ,,,
EX_glcglyc_e,0.0,glcglyc_e --> ,,,
EX_thrp_e,0.0,thrp_e --> ,,,
EX_sulfac_e,0.0,sulfac_e --> ,,,
EX_fe2_e,0.0,fe2_e --> ,,,
EX_fe3_e,0.0,fe3_e --> ,,,
EX_aso4_e,0.0,aso4_e --> ,,,
EX_mops_e,0.0,mops_e --> ,,,
EX_lanth_e,0.0,lanth_e --> ,,,
EX_hexs_e,0.0,hexs_e --> ,,,
EX_ethso3_e,0.0,ethso3_e --> ,,,
EX_gly_gln__L_e,0.0,gly_gln__L_e --> ,,,
EX_gly_asn__L_e,0.0,gly_asn__L_e --> ,,,
EX_ala_L_Thr__L_e,0.0,ala_L_Thr__L_e --> ,,,
EX_ala_L_leu__L_e,0.0,ala_L_leu__L_e --> ,,,
EX_ala_his_e,0.0,ala_his_e --> ,,,
EX_L_alagly_e,0.0,L_alagly_e --> ,,,
EX_ala_L_glu__L_e,0.0,ala_L_glu__L_e --> ,,,
EX_ala_L_gln__L_e,0.0,ala_L_gln__L_e --> ,,,
EX_gly_pro__L_e,0.0,gly_pro__L_e --> ,,,
EX_cpd11589_e,0.0,cpd11589_e --> ,,,
EX_met_L_ala__L_e,0.0,met_L_ala__L_e --> ,,,
EX_gly_met__L_e,0.0,gly_met__L_e --> ,,,
EX_gly_glu__L_e,0.0,gly_glu__L_e --> ,,,
EX_ala_L_asp__L_e,0.0,ala_L_asp__L_e --> ,,,
EX_cro4_e,0.0,cro4_e --> ,,,
EX_butso3_e,0.0,butso3_e --> ,,,
EX_arsbet_e,0.0,arsbet_e --> ,,,
EX_sbo3_e,0.0,sbo3_e --> ,,,
EX_3amba_e,0.0,3amba_e --> ,,,
EX_gbbtn_e,0.0,gbbtn_e --> ,,,
EX_mbdg_e,0.0,mbdg_e --> ,,,
PPAm_num1,0.0,h2o_c + ppi_c --> 2.0 h_c + 2.0 pi_c,3.6.1.1,0.7414291430981805,0.0
CAT_num1,0.0,2.0 h2o2_c --> 2.0 h2o_c + o2_c,1.11.1.6,9098585.568851197,0.0
PDHam1hi,0.6375286095539052,h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,"1.2.4.1,2.2.1.6",5655.544122957644,0.00011272630814884369
HXAD,0.0,chtbs_c + h2o_c --> 2.0 acgam_c,3.2.1.52,327.4601418652194,0.0
R00026_num1,0.0,cellb_e + h2o_e --> ,"3.2.1.21,3.2.1.86",209.42683714166336,0.0
MALTly,0.0,h2o_c + malt_c --> 2.0 glc__D_c,3.2.1.20,11665.852140043917,0.0
PPBNGS,0.0,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,4.2.1.24,3162.4166135779687,0.0
RBFSb,0.0,2.0 dmlz_c --> 4r5au_c + ribflv_c,2.5.1.9,54.83652017868525,0.0
HMBS,0.0,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,2.5.1.61,25.83389220653471,0.0
ATPM,5.85,atp_c + h2o_c --> adp_c + h_c + pi_c,,,
ADNCYC,0.0,atp_c --> camp_c + ppi_c,,932441.1615158116,0.0
NADK_num1,0.0,atp_c + nad_c --> adp_c + nadp_c,2.7.1.23,249.90030976842687,0.0
GLUSy,0.0,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,1.4.1.13,,
ADK1m,3.553681416491471,amp_c + atp_c --> 2.0 adp_c,2.7.4.3,149109.78300231227,2.383265098331183e-05
