,fluxes,equ,ec-code,kcat_MW,E
EX_h2o_e,18.302452277247976,h2o_e --> ,,,
EX_o2_e,-11.802096444487793,o2_e <-- ,,,
EX_pi_e,0.0,pi_e --> ,,,
EX_co2_e,12.235367026996807,co2_e --> ,,,
EX_ppi_e,1.547685762796275,ppi_e --> ,,,
EX_nh4_e,0.0,nh4_e --> ,,,
EX_amp_e,0.0,amp_e --> ,,,
EX_pyr_e,0.0,pyr_e --> ,,,
EX_glu__L_e,0.0,glu__L_e --> ,,,
EX_akg_e,0.0,akg_e --> ,,,
EX_pheme_e,0.0,pheme_e --> ,,,
EX_ac_e,11.222991587694219,ac_e --> ,,,
EX_mn2_e,0.0,mn2_e --> ,,,
EX_gly_e,0.0,gly_e --> ,,,
EX_zn2_e,0.0,zn2_e --> ,,,
EX_ala__L_e,0.0,ala__L_e --> ,,,
EX_succ_e,0.0,succ_e --> ,,,
EX_lys__L_e,0.0,lys__L_e --> ,,,
EX_glx_e,0.0,glx_e --> ,,,
EX_asp__L_e,0.0,asp__L_e --> ,,,
EX_cmp_e,0.0,cmp_e --> ,,,
EX_for_e,0.13875924951712582,for_e --> ,,,
EX_so4_e,0.0,so4_e --> ,,,
EX_arg__L_e,0.0,arg__L_e --> ,,,
EX_gln__L_e,0.0,gln__L_e --> ,,,
EX_ser__L_e,0.0,ser__L_e --> ,,,
EX_cu2_e,0.0,cu2_e --> ,,,
EX_met__L_e,0.0,met__L_e --> ,,,
EX_pep_e,0.0,pep_e --> ,,,
EX_ca2_e,0.0,ca2_e --> ,,,
EX_orn_e,0.0,orn_e --> ,,,
EX_trp__L_e,0.0,trp__L_e --> ,,,
EX_h_e,9.777634395042599,h_e --> ,,,
EX_tyr__L_e,0.0,tyr__L_e --> ,,,
EX_urea_e,0.0,urea_e --> ,,,
EX_no2_e,0.0,no2_e --> ,,,
EX_sucr_e,0.0,sucr_e --> ,,,
EX_glyc3p_e,0.0,glyc3p_e --> ,,,
EX_fru_e,0.0,fru_e --> ,,,
EX_cys__L_e,0.0,cys__L_e --> ,,,
EX_ala_B_e,0.0,ala_B_e --> ,,,
EX_g1p_e,0.0,g1p_e --> ,,,
EX_ump_e,0.0,ump_e --> ,,,
EX_ura_e,0.0,ura_e --> ,,,
EX_chol_e,0.0,chol_e --> ,,,
EX_glyc_e,0.0,glyc_e --> ,,,
EX_btn_e,0.0,btn_e --> ,,,
EX_rib__D_e,0.0,rib__D_e --> ,,,
EX_fum_e,0.0,fum_e --> ,,,
EX_leu__L_e,0.0,leu__L_e --> ,,,
EX_gal_e,0.0,gal_e --> ,,,
EX_ala__D_e,0.0,ala__D_e --> ,,,
EX_his__L_e,0.0,his__L_e --> ,,,
EX_inost_e,0.0,inost_e --> ,,,
EX_acgam_e,0.0,acgam_e --> ,,,
EX_gmp_e,0.0,gmp_e --> ,,,
